,Title,Link,Genre,Developer,Publisher,Released in: Japan,North America,Rest of countries,Plots
504,Icey,/wiki/Icey,Side-scroller,X.D. Network,X.D. Network,"May 31, 2018","May 31, 2018","May 31, 2018"," The game revolves around Icey, a female cyborg who is on a mission to kill the evil Judas, who has supposedly destroyed the world, for unclear reasons. She fights against various small and large robotic enemies. However, if the player strays outside the directions given to them by the narrator, he becomes frustrated and even angry. At this point the game devolves into a meta-commentary on game development, with the game's developer even talking directly to the player.   The game plays as a 2D hack-and-slash game. The player uses a single weapon, but can perform quick combos with their sword. There is no block, but rather a dash that allows the player to become invulnerable - the player can also refill their shields by killing stunned enemies with a special kill move.  "
505,Iconoclasts,/wiki/Iconoclasts_(video_game),Action,Mango Protocol,Mango Protocol,"August 2, 2018","August 2, 2018","August 2, 2018"," Iconoclasts is a 2D platformer with metroidvania elements. involves a mixture of exploring, fighting enemies, and solving environmental puzzles using Robin's tools. The game has a plot that plays out as the player completes levels. The game places a lot of emphasis on boss battles, and there are well over twenty different bosses in the game.   Robin gains several tools over the course of the game, each with both combat and puzzle-solving functions. The wrench is a melee weapon that is also used to turn bolts, grapple, and, later, electrify Robin or other tools and objects. The stun-gun can fire single shots and charge shots, and can destroy some obstacles. The roller bomb shot fires projectile timed explosives or charged missile shots, can destroy some obstacles, and can be electrified. The usurper shot fires piercing beams and a charge shot that causes Robin to exchange places with certain objects and enemies it hits.  The characters Mina, Royal, and Elro join Robin's party at certain times throughout the game; they may assist in boss fights or become controllable by the player.  By finding materials in treasure chests, Robin can craft Tweaks, which provide small gameplay bonuses such as increased melee damage, faster running speed, or unique abilities. Tweaks can only be equipped at save points; one Tweak becomes broken whenever Robin takes damage, and each Tweak must be repaired by refilling a gauge before becoming active again.   "
506,If My Heart Had Wings,/wiki/If_My_Heart_Had_Wings_(visual_novel),Visual novel,Pulltop,MoeNovel,"September 5, 2019","September 5, 2019","September 5, 2019"," The game focuses on Aoi who, having lost his direction in life, returns to his hometown of Kazegaura where a gentle breeze blows through the streets. On the hill lined with windmills, he meets a wheelchair-ridden girl named Kotori and together they watch a glider overhead in awe. With his childhood friend Ageha in town, and the super-repeat student Amane, they restore the soaring club in order to fulfill a dream: to soar in the skies.  The central theme of the story is loss, both physical and emotional.  "
507,Ikaruga,/wiki/Ikaruga,Shoot 'em up,Treasure,Nicalis,"May 30, 2018","May 29, 2018","May 29, 2018"," Ikaruga is a vertically scrolling shoot 'em up. The game features five stages, three levels of difficulty, and supports single-player or two-player cooperative modes. The player pilots the Ikaruga fighter, moving to avoid obstacles and other danger. A key gameplay feature to Ikaruga is its polarity system. The player can press a button at any time to switch the polarity of their ship between black and white. When white, the ship will absorb white bullets fired by enemies and store their power until released with a special attack. However, if the ship is white and hit by black bullets, it will be destroyed. The opposite is true when the ship is black. Enemy fighters also have black and white polarities. If the player ship is white and the enemy is black, the player's bullets will do twice the damage than if their ship was black. If an enemy is destroyed with the same polarity as the player, the ship will expel energy which can be absorbed or, if the player changes polarities too quickly, present a fatal danger.:9  Ikaruga does not feature any pick-ups or power-ups, instead, the player can only rely on their standard firing weapon and a homing laser. Absorbed bullets contribute to building the player's homing laser attack. The power of the attack increases one level for every 10 enemy bullets absorbed. Each level is equal to one laser, with a maximum of 12 which can be stored. A homing laser is 10 times more powerful than a standard shot.:9  The game's scoring system is based upon chaining attacks to earn bonuses. Destroying three enemy fighters of the same color in a row will earn the player a chain bonus. The player will earn 100 points for their first chain bonus, and double the amount for each bonus thereafter. These bonuses can be multiplied up to a maximum of 25,600, but if interrupted by destroying an enemy out of order, the bonus will be reset.:10  Home console ports of Ikaruga feature additional gameplay modes apart from the standard arcade mode. Modes are available that allow players to practice single stages they have unlocked at normal or slow speeds. A challenge mode is available which logs players' scores and compares them to others worldwide. If certain conditions are met, a prototype mode is unlocked which limits the number of bullets the player has. Bullets must be absorbed to keep ammo in stock. In an alternative way to play the standard game called ""Bullet Eater"", the player does not fire any shots and instead navigates through all the stages by absorbing bullets.:10–12  "
511,Indivisible,/wiki/Indivisible_(video_game),Action role-playing,Lab Zero Games,JP,"July 16, 2020","April 28, 2020","April 28, 2020"," Indivisible features platform-style action RPG exploration and combat mechanics inspired by Valkyrie Profile.   The game follows the story of Ajna (voiced by  Tania Gunadi), a good-natured tomboy with a rebellious streak whose life is thrown into disarray when an attack by an army under the command of a warlord named Ravannavar burns her village to the ground and kills her father. During the chaos, Ajna awakens a mysterious ability to absorb certain individuals known as Incarnations into her being. She embarks on a journey across the world to confront Ravannanar while learning the truth behind her mysterious powers. During her quest, she is joined by a variety of unique heroes, gaining new abilities to traverse different environments and defeat enemies encountered along the way.  "
512,The Infectious Madness of Doctor Dekker,/wiki/The_Infectious_Madness_of_Doctor_Dekker,FMV adventure,D'Avekki Studios,Wales Interactive,Unreleased,"June 5, 2018","June 5, 2018"," The player sees full-motion videos of characters who were patients of Doctor Dekker. The goal is to find out the details surrounding the death of Doctor Dekker. You play as a replacement psychiatrist and must ask the patients questions. You are free to switch between characters to find out more about them. In sessions with each patient, you interact by typing questions or comments into a text box. The game interprets your input and responds by spitting out a full-motion video reply from the subject. You have a list of responses in the log that will sometimes have asterisks beside them. One asterisk means there's still a question to ask, but two means you should follow up with this character. Questions can take plenty of forms, but you are generally free to type what you please. Hints are available, but have a cooldown before you can use them again.  "
514,Inside,/wiki/Inside_(video_game),Platformer,Playdead,Playdead,"June 28, 2018","June 28, 2018","June 28, 2018"," Inside is a puzzle platformer. The player character is an unnamed boy who explores a surreal and mostly monochromatic  environment presented as a 2.5D platform game. The game is dark, with color used sparingly to highlight both the player and certain parts of the environment. The game is also mostly silent, with the exception of occasional musical cues, the boy's vocals, dogs barking, equipment and sound effects. The player controls the boy who walks, runs, swims, climbs, and uses objects to overcome obstacles and progress in the game. The boy gains the ability to control bodies to complete certain puzzles, a mechanic that IGN's Marty Sliva compared to a similar mechanic in The Swapper. At various points in the game, the player may discover hidden rooms containing glowing orbs. If all the orbs are deactivated during a playthrough, the player unlocks the game's alternate ending.  The boy can die in various ways, such as being shot with a tranquilizer dart, mauled by dogs, ensnared by security machines, blown apart by shockwaves, or drowned. As in the predecessor game Limbo, these deaths are presented realistically and are often graphic. If the character dies, the game continues from the most recent checkpoint.   A boy slides down a rocky incline. While running through a forest, he encounters masked guards with flashlights, as well as vehicles with mounted spotlights, and fierce guard dogs. He escapes the guards, then crosses a road where a block has been set up with more vehicles and guards, to a farm where parasitic worms cause pigs to run rampant. The boy uses the farm animals and equipment to escape to a seemingly-abandoned city where lines of zombie-like people are moved through mind control. Beyond the city is a large factory of flooded rooms, a shock wave atrium, and a laboratory environment where scientists perform underwater experiments on bodies.  While traversing these areas, the boy uses a mind-control helmet to control lifeless grey bodies, who seem to be made to work for the organization controlling the vans and dogs. The boy eventually comes across an underwater siren-like creature that attaches a device to him, allowing him to breathe underwater.  Continuing through the office and laboratories, the boy sees scientists observing a large spherical chamber. The boy enters the chamber and discovers a large blob-like creature, the Huddle, made of humanoid limbs connected to four control rods. After disconnecting the rods, the boy is pulled into the Huddle.  The Huddle escapes confinement, crashing through offices, killing some of the scientists in its path. The scientists trap the Huddle in another tank, but the Huddle escapes again and breaks through a wooden wall. It rolls down a forest hill and comes to a stop at a grassy coastline bathed in light.  "
515,Into the Breach,/wiki/Into_the_Breach,Turn-based strategy,Subset Games,Subset Games,Unreleased,"August 28, 2018","August 28, 2018"," Into the Breach is set in the far future where humanity fights against an army of giant monsters collectively called the Vek. To combat them, the player controls soldiers that operate giant mechs that can be equipped with a variety of weapons, armor, and other equipment. The game uses a turn-based combat system, allowing the player to coordinate the actions of their team in response to enemy moves and actions that serve to telegraph their attacks.  In combat, the player controls three different mechs against the Vek, and will be given an objective for that map along with a fixed number of turns to complete that objective. The principal goal for any map is to protect civilian structures which support the power grid that supports the mechs, but additional objectives may be presented. Should a civilian structure be damaged or destroyed, the power grid is weakened.  On each turn, Vek forces will move across the board and attack. The player is shown the direction of the Vek unit's intended attack and information on the number of moves the Vek unit is able to take and its remaining health are available on screen. The appearance of new Vek follows each turn. This gives the player the ability to then move each mech and fire one of its weapons as to either defeat the Vek unit, push the Vek off a line of attack, avoid an attack, intercept newly spawning Vek or an attack on civilian structures. Mechs can only take a limited amount of damage during battle before becoming inoperable, though a player can have a mech idle a turn to repair some damage; battle damage is otherwise completely repaired between maps. Pilots of mechs that defeat a Vek gain experience points, which can be used to unlock new skills. The gameplay of Into the Breach has been compared to that of chess, as it is less about overpowering the opposing forces and instead about maintaining position control and sacrificing units to gain a larger advantage.  Similar to FTL, the game is broken into a sequence of islands each with a number of scenarios (based on island sectors) to complete; while the islands remain the same each game, the scenarios themselves are generated procedurally in a roguelike manner. After completing the first island, the player is given the choice of which islands in the sequence to protect next; islands have various conditions that can affect combat scenarios, and more hazardous conditions can gain greater rewards from completing the scenarios on each. Should the player lose any scenario, either due to their 3 mechs becoming disabled, losing their power grid, or failing to protect a specific target for that scenario, then the player has the option to send one of the pilots back in time prior to the start of the first mission – effectively starting a new game – retaining their current experience and abilities to give an edge in the next battle. Reviewers for the website Rock Paper Shotgun described the gameplay as a mix of Pacific Rim and Edge of Tomorrow due to the time-traveling elements. Other permanent improvements, such as new pilots or sets of mechs, become available as the player completes various milestones.  "
516,"Invisible, Inc.","/wiki/Invisible,_Inc.",Turn-based tactics,Klei Entertainment,Klei Entertainment,Unreleased,"June 15, 2020","June 15, 2020"," The game is a turn-based tactics based-game inspired by X-COM, with emphasis on stealth and espionage. In each playthrough, the player takes on the role of an agent handler for covert operations and has three days to prepare for their final mission. This is done by performing various missions across the globe to retrieve information, valuables, equipment and personnel, keeping cognizant of the amount of time taken for travel and missions within that three day period. The player selects two agents to perform these missions to start, and may be able to free other agents during missions; should one agent die during a mission, they remain dead for the remainder of the runthrough unless revived using a medkit consumable or dragged to the exit by another agent, while if all agents die, the game is over. The mission details and location layouts are procedurally generated for each run through, featuring a variety of objectives, obstacles, and difficulty.  Missions are played out in a turn-based manner. Each agent under the player's control has a limited number of action points each turn that allow them to move, open/close doors, take out guards silently, or perform other covert tasks. Additionally, the player may need to collect power to be able to use ""Incognita"", the hacking interface that allows them to disable alarms and security cameras or remove locks on safes. Once the player has completed their turn, any enemy forces move, and in most locations an alarm level is raised; with higher alarm levels, new security forces and threats will arrive, making the mission more difficult. Certain stations can let the player purchase upgrades or equipment for the agents to help in the mission, using collected in-game money. The objective of the mission depends on the facility type being infiltrated, usually requiring the player to retrieve a specific item from a secure location and escape, stealing as much money and equipment as possible along the way.  The game has a larger meta-game aspect, in that as they play and complete certain goals, they can unlock different agents with different skill sets or new default equipment to begin missions with in future playthroughs.   The game is set in year 2074, after megacorporations have overthrown the world's national governments and taken control. Invisible Inc. is a private intelligence agency providing services to corporations, performing infiltrations using field agents and a sophisticated AI system known as Incognita.  At the start of the game, Invisible Inc. is compromised by corporate soldiers, which leads to the headquarters as well as most agents and assets being lost, with only the agency's leader, two agents, the player, Monst3r, and Incognita escaping. Incognita can only be hosted in extremely powerful computer systems and cannot survive outside of them for more than 72 hours, so it becomes the agency's task to use that time to prepare for their final mission, where they will try to infiltrate the enemy's headquarters to access the computer system and insert Incognita. But, when she becomes uploaded it turns out she has been planning to exterminate the megacorporations, and ends with her using satellites (equipped with orbital lasers) to destroy their headquarters, killing thousands of people in the process. Incognita defies her removal from the new host computer and allows the agency's leader to leave unharmed.  "
517,Ion Fury,/wiki/Ion_Fury,First-person shooter,Voidpoint,3D Realms,Unreleased,"May 14, 2020","May 14, 2020"," In Ion Fury, the player assumes the role of Shelly ""Bombshell"" Harrison, a bomb disposal expert aligned to the Global Defense Force. Dr. Jadus Heskel, a transhumanist cult leader, unleashes an army of cybernetically-enhanced soldiers on the futuristic dystopian city of Neo D.C., which Shelly is tasked with fighting through.  "
520,Ittle Dew,/wiki/Ittle_Dew,Role-playing,Ludosity,Nicalis,Unreleased,"August 15, 2019","August 15, 2019"," The protagonist Ittle and her blithe buddy Tippsie ended up stranded on the island after their raft breaks apart and they must head out and recover the eight raft pieces before they can leave.   The game makes the player complete any challenge by solving the puzzles, the player must pick up the abilities and items to help the puzzle to be solved. There are enemies to fight, puzzles to solve and keys to collect before taking on the dungeon's boss.  "
521,Ittle Dew 2+,/wiki/Ittle_Dew_2%2B,Role-playing,Ludosity,Nicalis,Unreleased,"March 19, 2020","March 19, 2020"," The protagonist Ittle and her blithe buddy Tippsie ended up stranded on the island after their raft breaks apart and they must head out and recover the eight raft pieces before they can leave.   The game makes the player complete any challenge by solving the puzzles, the player must pick up the abilities and items to help the puzzle to be solved. There are enemies to fight, puzzles to solve and keys to collect before taking on the dungeon's boss.  "
522,The Jackbox Party Pack,/wiki/The_Jackbox_Party_Pack,Party,Jackbox Games,Jackbox Games,Unreleased,"August 17, 2017","August 17, 2017"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
523,The Jackbox Party Pack 2,/wiki/The_Jackbox_Party_Pack_2,Party,Jackbox Games,Jackbox Games,Unreleased,"August 17, 2017","August 17, 2017"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
524,The Jackbox Party Pack 3,/wiki/The_Jackbox_Party_Pack_3,Party,Jackbox Games,Jackbox Games,Unreleased,"April 13, 2017","April 13, 2017"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
525,The Jackbox Party Pack 4,/wiki/The_Jackbox_Party_Pack_4,Party,Jackbox Games,Jackbox Games,Unreleased,"October 19, 2017","October 19, 2017"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
526,The Jackbox Party Pack 5,/wiki/The_Jackbox_Party_Pack_5,Party,Jackbox Games,Jackbox Games,Unreleased,"October 17, 2018","October 17, 2018"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
527,The Jackbox Party Pack 6,/wiki/The_Jackbox_Party_Pack_6,Party,Jackbox Games,Jackbox Games,Unreleased,"October 17, 2019","October 17, 2019"," Most games in The Jackbox Party Pack are designed for online play, requiring only one person to own and launch the game. Remaining players can be local and thus see the game via the first player's computer or console, or can be remote, watching the game be played through streaming media services. All players – whether local or remote – use web-enabled devices, including personal computers and mobile or tablet devices, to enter a provided ""room code"" at Jackbox's dedicated servers to enter the game. Games are generally limited to around 8 active players, but any other players connecting to the room after these players are connected become audience participants, who can impact how scoring is determined and influence the winner.  Each game generally has a period where all players are given a type of prompt. This prompt appears on the individual devices and gives players sufficient time to enter their reply or draw as necessary, and can be set to account for forced streaming delays that some streaming services require. The game then collects and processes all the replies, and frequently then gives players a chance to vote for the best answer or drawing; this is often where the audience may also participate by voting as a group. Games proceed for a number of rounds, and a winner, generally with the highest score at the end, is announced.  Games  All games are available on PlayStation 4, Nintendo Switch, Xbox One, PC/Mac/Linux, Apple TV, iPad, Android TV, Amazon Fire TV, Nvidia Shield TV, and Xfinity X1, with Part Packs 1 and 2 also being available on PlayStation 3.  "
528,Jamestown+,/wiki/Jamestown%2B,Shoot 'em up,Final Form Games,Final Form Games,Unreleased,"December 12, 2019","December 12, 2019","  Jamestown features mechanics similar to many other shooters. There are 4 types of ships available, each with a primary and secondary attack, and a ""Vaunt Mode"" which the player can trigger when enough gold from destroyed enemies has been collected. When this mode is engaged the ship gains a temporary shield, increased firepower and a score multiplier for a limited time, which can be prolonged and increased by collecting more gold.  The game is playable in both regular singleplayer mode and in a local multiplayer mode supporting up to 4 players.  "
531,Jikkyou Powerful Pro Baseball,/wiki/Jikkyou_Powerful_Pro_Baseball,Sports,Konami,Konami,"June 27, 2019",Unreleased,Unreleased,"Games in the series  This is the major system development in the main series (as well as information of seasons series and MLB Power Pros series), some minor development, such as player's ability, are not included in the development  Games in the series  Below is a rough list of the games within the Power Pro series. Basically can de divided into certain categories below.  Main Series: Ending with only number suffixs (except '94, the first series), most major system amendments (including success mode) are placed in the main series. Number series are not used after 15.  Season Series: A PlayStation exclusive series, ending with suffix in year number, it is mainly an alternate installment of the main series which is installed in Super Famicom and PlayStation 2. This series has been merged to the main series as the PlayStation had stopped being manufactured. Since 1998, two installments are released every year, one normal version in the start of the season,  and one named Kettei-ban(Post-Season version), with the latter have statistic (and sometime involving player transfers) update that reflects his performance in the season. This has become one of the tradition of Konami even after this has been merged in the main series, much like the Winning Eleven series with a more frequently update. Ketten-ban version is cancelled in 15 (But they used on Pro Baseball Spirits instead). However, year series are revived after that.  MLB Power Pro Series: The only series that is officially released in America, it features MLB series instead of traditional Japanese NPB series, through Japanese version is also available. See the MLB Power Pros entry for further details.  It is noted that passwords cannot be used on same installments with different manufacturer's machine (Sony/Nintendo has their own password format). Passwords of Power Pros (Japanese version) cannot be used on American version either.  "
532,Joe Dever's Lone Wolf,/wiki/Joe_Dever%27s_Lone_Wolf,Role-playing,Reply Forge,Reply Forge,Unreleased,"February 16, 2018","February 16, 2018"," While traditional 3D action RPG combat is the main focus on the game, plot is often delivered through first person perspective texts similar to the gamebook series. It also includes various supernatural disciplines learned by the Kai to give them otherworldly powers including the ability to psychically attack their opponents and defend against them.   The story takes place between Lone Wolf books four and five, titled The Chasm of Doom and Shadow on the Sand.  "
537,Journey to the Savage Planet,/wiki/Journey_to_the_Savage_Planet,Adventure,Typhoon Studios,505 Games,Unreleased,"May 21, 2020","May 21, 2020"," Journey to the Savage Planet is an adventure game played from a first-person perspective. In the game, players are tasked to explore ARY-26, a colorful planet inhabited by various alien lifeforms. The player's main task is to catalogue various alien flora and fauna, and collect the resources needed to craft new items and upgrades, such as jetpacks and grappling hooks, which enable the players to reach previously inaccessible areas. Players will also encounter various hostile lifeforms, which can be defeated using weapons such as laser guns and throwable items such as acid grenades. The game can also be played cooperatively with another player.  "
538,Juicy Realm,/wiki/Juicy_Realm,Roguelike,SpaceCan Studio,X.D. Network,"November 7, 2019","November 7, 2019","November 7, 2019"," In Juicy Realm, several years in the future, plants started to sprout arms and legs, and began to develop self-awareness. Humanity did not some to grasp on how much of a threat these creatures posed as they take over the world and top them on the food chain.   Juicy Realm is a roguelike twin-stick shooter where you play as one of the four characters, each with his/her own weapons and gear, to explore the fruits' empire through several maps with procedural-generated zones, monsters, and items. Players will face-off against all sorts of fruits and collect weapons and gear. You can also expand your camp base as you progress. At the end of an area you fight a boss monster. The game can be played alone or with another player.  "
540,Jump Force,/wiki/Jump_Force,Fighting,Spike Chunsoft,Bandai Namco Entertainment,"August 27, 2020","August 28, 2020","August 28, 2020"," Jump Force is a 1-v-1 fighting game where the player controls a team of three characters from a selection of various manga series featured in the Weekly Shōnen Jump magazine. Players control one character at a time while the others are used as support, with players able to switch between them during battle. Combat functions similarly to the previous Jump fighting game, J-Stars Victory VS, with players moving around a 3D space and utilizing various combos and special moves to attack their opponents. The match ends when one team depletes the other's health bar.  "
541,Jump Rope Challenge,/wiki/Jump_Rope_Challenge,Exergaming,Nintendo EPD,Nintendo,"June 16, 2020","June 15, 2020","June 16, 2020"," In Jump Rope Challenge, the player uses Joy-Con controllers in a basic skipping rope motion in conjunction with jumping up and down to emulate jumping a skipping rope. The in-game screen displays an anthropomorphic rabbit character skipping alongside the player, as well as counting the amount of jumps the player does. Initially, the game sets the player the task of reaching at least 100 jumps every day, although this goal can be manually increased. The players' total jumps for each day are recorded in a timeline, allowing the player to see how much they have progressed. Jump Rope Challenge can also be played in multiplayer with 2 players, with the players holding one Joy-Con each.  "
542,Just Dance 2017,/wiki/Just_Dance_2017,Rhythm,Ubisoft Paris,Ubisoft,Unreleased,"March 3, 2017","March 3, 2017"," As in previous installments, players must mimic the routine of an on-screen dancer to a chosen song, scoring points based on their accuracy. For input, the game supports either the respective motion controller system for a particular console platform, or a smartphone with the game's companion mobile app. A new ""Just Dance Machine"" mode was added on current-generation console and PC versions, in which players must dance through sequences of different styles to help recharge an alien spaceship.  Ubisoft confirmed that the Dance Quests, Sweat (workout and playlist modes), Just Dance TV, and World Dance Floor features would be retained on 2017, as well as the Just Dance Unlimited subscription service for versions of the game on current-generation consoles and PC, with additional content and playlist features. The game's companion app was also updated to become ""a hub for players' activities"", with photo editing features and Just Dance TV content alongside the app's main purpose as a motion controller.  Ubisoft discontinued online services for the Wii, PS3, and Xbox 360 versions of the game on November 19, 2018.  "
543,Just Dance 2018,/wiki/Just_Dance_2018,Rhythm,Ubisoft Paris,Ubisoft,Unreleased,"October 24, 2017","October 27, 2017"," As with the previous installments of the franchise, players must mimic the on-screen dancer's choreography to a chosen song using either motion controllers or the game's associated Just Dance Controller app on a smartphone. A new ""Super"" judgment was added between ""Good"" and ""Perfect"". The ""Dance Lab"" mode features medleys of choreography representing different professions and animals, while a new ""Kids Mode"" was designed to provide a gameplay experience and choreography tailored towards younger players.  The Nintendo Switch version of the game features a new ""Double Rumble"" mode, which features routines based on different professions that leverage the ""HD Rumble"" functionality in the console's Joy-Con controllers to provide feedback.  "
544,Just Dance 2019,/wiki/Just_Dance_2019,Rhythm,Ubisoft Paris,Ubisoft,Unreleased,"October 23, 2018","October 26, 2018"," As with the previous installments of the franchise, players must mimic the on-screen dancer's choreography to a chosen song using either motion controllers or the game's associated smartphone app. The Just Dance app is no longer supported on Nintendo platforms, electing to exclusively use the consoles' native motion controls instead. The game's user interface received a significant redesign, with a focus on recommendations and curated playlists, and removing other modes such as minigames to focus on core gameplay.  "
545,Just Dance 2020,/wiki/Just_Dance_2020,Rhythm,Ubisoft Paris,Ubisoft,"March 12, 2020","November 5, 2019","November 5, 2019"," As with the previous installments of the franchise, players must mimic the on-screen dancer's choreography to a chosen song using either motion controllers or the game's associated smartphone app (except on Wii).  Its user interface and features are largely identical to 2019, although with the addition of a new ""All Stars"" mode commemorating the franchise's 10th anniversary (which features a playlist of songs representing past editions of the game).  "
546,Just Shapes & Beats,/wiki/Just_Shapes_%26_Beats,Rhythm,Berzserk Studio,Berzserk Studio,"June 7, 2018","May 31, 2018","June 21, 2018"," Up to four players each control one small shape, surviving attacks simply by dodging against a variety of attacks, such as huge beams, bouncing hills, snake-like spirals, and pulsating shapes. These attacks appear, move, and attack in rhythm to the music, with difficulty increasing the further players progress.  The rhythm visually manifests on-screen as all manner of objects, of different patterns and sizes, distinguishable by their pink color, that must be dodged until the track ends. Getting struck by one of these attacks causes the player to lose part of their shape, represented by either a cyan square, a yellow triangle, a green pentagon or an orange circle, if there are multiple players. If the shape breaks entirely, the game rewinds to the previous checkpoint. Three breaks within a single level results in a Game Over screen, with the text stating ""It's Over"" and the cyan square breaking down to pieces. Tapping Enter (PC/Steam), A (Switch), or the Cross button (PS4) multiple times causes the square to fix itself and changes the screen's text to read ""It's NOT Over"", allowing the player to continue from the beginning of the level.  Hardcore mode was added in 2019, which adds the harder versions of all available levels.  Just Shapes & Beats offers multiple modes that feature variations on the basic gameplay, such as party mode, playlist, and challenge run.  "
547,Jydge,/wiki/Jydge,Twin-stick shooter,10tons,10tons,Unreleased,"October 19, 2017","October 19, 2017"," Jydge is a twin-stick shooter video game played from a tilted top-down perspective. Set in the dystopic, cyberpunk city of Edenbyrg, players take control of the ""JYDGE""—a law enforcer who is tasked with eliminating enemies and rescuing hostages across twenty different levels. The game features destructible environments that enable players to breach a room by shooting down a wall. Between levels, players can upgrade and customise JYDGE using credits obtained whilst playing through a level. New upgrades are unlocked by earning medals from completing specific objectives and tasks during a level. The game can be played alone or in a two-player cooperative gameplay mode.  "
